Date,Open,High,Low,Close,Volume,Adj Close
2011/12/14,,,,,,
2011/12/15,,,,,,
2011/12/16,,,,,,
2011/12/17,,,,,,
2011/12/18,,,,,,
2011/12/19,1219.74,1265.42,1202.37,1265.33,3280102000,1265.33
2011/12/20,,,,,,
2011/12/21,,,,,,
2011/12/22,,,,,,
2011/12/23,,,,,,
2011/12/24,,,,,,
2011/12/25,,,,,,
2011/12/26,,,,,,
2011/12/27,1265.02,1269.37,1248.64,1257.6,2257637500,1257.6
2011/12/28,,,,,,
2011/12/29,,,,,,
2011/12/30,,,,,,
2011/12/31,,,,,,
2012/1/1,,,,,,
2012/1/2,,,,,,
2012/1/3,1258.86,1284.62,1258.86,1277.81,3877267500,1277.81
2012/1/4,,,,,,
2012/1/5,,,,,,
2012/1/6,,,,,,
2012/1/7,,,,,,
2012/1/8,,,,,,
2012/1/9,1277.83,1296.82,1274.55,1289.09,3854788000,1289.09
2012/1/10,,,,,,
2012/1/11,,,,,,
2012/1/12,,,,,,
2012/1/13,,,,,,
2012/1/14,,,,,,
2012/1/15,,,,,,
2012/1/16,,,,,,
2012/1/17,1290.22,1315.49,1290.22,1315.38,4121290000,1315.38
2012/1/18,,,,,,
2012/1/19,,,,,,
2012/1/20,,,,,,
2012/1/21,,,,,,
2012/1/22,,,,,,
2012/1/23,1315.29,1333.47,1306.06,1316.33,4080966000,1316.33
2012/1/24,,,,,,
2012/1/25,,,,,,
2012/1/26,,,,,,
2012/1/27,,,,,,
2012/1/28,,,,,,
2012/1/29,,,,,,
2012/1/30,1316.16,1345.34,1300.49,1344.9,4225678000,1344.9
2012/1/31,,,,,,
2012/2/1,,,,,,
2012/2/2,,,,,,
2012/2/3,,,,,,
2012/2/4,,,,,,
2012/2/5,,,,,,
2012/2/6,1344.32,1354.32,1335.92,1342.64,3861272000,1342.64
2012/2/7,,,,,,
2012/2/8,,,,,,
2012/2/9,,,,,,
2012/2/10,,,,,,
2012/2/11,,,,,,
2012/2/12,,,,,,
2012/2/13,1343.06,1363.4,1340.8,1361.23,3882884000,1361.23
2012/2/14,,,,,,
2012/2/15,,,,,,
2012/2/16,,,,,,
2012/2/17,,,,,,
2012/2/18,,,,,,
2012/2/19,,,,,,
2012/2/20,,,,,,
2012/2/21,1361.22,1368.92,1352.28,1365.74,3680180000,1365.74
2012/2/22,,,,,,
